price,address,date_sold,bedroom,bathroom,carport,dwelling
417000,905/380 Murray Street,2019-08-05,1,1,0,Apartment
749000,53/255 Adelaide Terrace,2019-08-04,2,2,2,Apartment
302500,6/196 Bulwer Street,2019-08-02,2,1,0,Apartment
285000,54/177 Stirling Street,2019-08-02,1,1,1,Apartment
295000,5/10 Smith Street,2019-08-02,1,1,0,Apartment
2250000,Apartment/11 Barrack Square,2019-07-31,3,3,2,Apartment
295000,102/101 Murray Street,2019-07-29,1,1,1,Apartment
300000,Unit 45/378 Beaufort Street,2019-07-26,1,1,1,House
390000,15/69 Milligan  Street,2019-07-25,2,2,1,Apartment
800000,39 Ruth  Street,2019-07-24,3,1,0,House
315000,510/2 St Georges Terrace,2019-07-23,1,1,1,Apartment
990000,10 Pisconeri Street,2019-07-22,4,2,2,House
620000,15 Primrose Street,2019-07-18,3,2,2,House
315000,25/229 Adelaide Terrace,2019-07-16,1,1,1,Apartment
704500,310 Stirling Street,2019-07-16,3,1,0,House
470000,34/67 Brewer Street,2019-07-13,2,2,1,Apartment
336000,2/226 Beaufort Street,2019-07-10,1,1,1,Apartment
315000,72/418 Murray Street,2019-07-10,2,1,1,Apartment
575000,1803/105 Stirling Street,2019-07-05,2,2,2,Apartment
440000,15/580 Hay Street,2019-06-28,2,2,1,Apartment
440000,94/2 Sherwood Court,2019-06-26,2,1,0,Apartment
359000,36/28 Robinson Ave,2019-06-25,2,1,1,Apartment
500000,10/145 Newcastle Street,2019-06-25,3,2,0,Apartment
700000,80/132 Terrace Road,2019-06-23,3,2,2,Apartment
377000,137/101 Murray Street,2019-06-19,2,2,1,Apartment
329000,161/15 Aberdeen Street,2019-06-18,2,1,1,Apartment
310000,23/375 Hay Street,2019-06-17,1,1,1,Apartment
332000,53/996 Hay Street,2019-06-17,2,1,1,Apartment
280000,307/126-128 Mounts Bay Road,2019-06-14,1,1,1,Apartment
330000,8/33 Windsor Street,2019-06-14,2,2,1,Apartment
445000,37/378 Beaufort St,2019-06-13,2,2,1,Apartment
461000,1416/380 Murray Street,2019-06-11,1,1,0,Apartment
1160000,2501/237 Adelaide Terrace,2019-06-08,3,2,2,Apartment
399000,117/996 Hay  street,2019-06-07,2,1,0,Apartment
342500,16/130 Terrace Road,2019-06-06,2,1,1,Apartment
499000,1403/105 Stirling Street,2019-06-05,2,2,1,Apartment
320000,76/375 Hay Street,2019-06-04,1,1,1,Apartment
284000,22/250 Beaufort Street,2019-05-29,1,1,1,Unit
900000,79 West Parade,2019-05-28,4,2,2,House
440000,21/273 Beaufort Street,2019-05-27,2,2,1,Apartment
295000,807/9 Victoria Avenue,2019-05-21,1,1,1,Apartment
400000,5/580 Hay Street,2019-05-21,2,2,1,Apartment
183000,806/12 Victoria Avenue,2019-05-20,1,1,0,Apartment
225000,13/29 Hill Street,2019-05-19,1,1,0,Apartment
180000,7/124 Terrace Road,2019-05-19,1,1,0,House
180000,34/122 Terrace Road,2019-05-19,1,1,0,Unit
690000,56 Bulwer Street,2019-05-18,2,1,2,House
